"entrezgene_id","external_gene_name","NOD_Sample1_t1","NOD_Sample1_t2","NOD_Sample1_t3","NOD_Sample1_t4","NOD_Sample1_t5","NOD_Sample2_t1","NOD_Sample2_t2","NOD_Sample2_t3","NOD_Sample2_t4","NOD_Sample2_t5","NOD_Sample3_t1","NOD_Sample3_t2","NOD_Sample3_t3","NOD_Sample3_t4","NOD_Sample3_t5","NOD_Sample4_t1","NOD_Sample4_t2","NOD_Sample4_t3","NOD_Sample4_t4","NOD_Sample4_t5","NOD_Sample5_t1","NOD_Sample5_t2","NOD_Sample5_t3","NOD_Sample5_t4","NOD_Sample5_t5","NS_Sample1_t1","NS_Sample1_t2","NS_Sample1_t3","NS_Sample1_t4","NS_Sample1_t5","NS_Sample2_t1","NS_Sample2_t2","NS_Sample2_t3","NS_Sample2_t4","NS_Sample2_t5","NS_Sample3_t1","NS_Sample3_t2","NS_Sample3_t3","NS_Sample3_t4","NS_Sample3_t5","NS_Sample4_t1","NS_Sample4_t2","NS_Sample4_t3","NS_Sample4_t4","NS_Sample4_t5"
"19225","Ptgs2",130,157,248,115,203,421,95,176,109,445,43,548,205,239,194,400,141,181,150,312,36,800,139,128,84,280,230,448,255,181,288,397,121,313,412,79,119,252,46,63,261,1163,159,126,455
"18646","Prf1",69,148,69,18,31,56,88,4,10,16,28,19,24,13,10,29,60,3,17,47,19,25,54,32,38,48,152,22,67,62,58,23,82,19,9,154,110,33,7,19,57,37,31,39,5
"18787","Serpine1",6746,6088,9713,3993,7376,10452,5456,5876,3176,20246,4012,15829,8224,4601,6611,7752,4582,7008,4594,5890,2289,17967,4870,4030,3764,5999,9281,10008,8226,5923,6778,12712,4522,10432,9691,3531,4872,10655,600,1317,6583,26402,5983,6190,3983
"20371","Foxp3",61,94,118,76,86,50,83,67,51,130,68,84,97,90,61,41,87,81,65,69,40,104,218,110,75,58,84,129,77,56,39,97,123,78,61,39,86,96,40,59,57,45,86,82,29
"12267","C3ar1",12516,11083,14183,8119,12635,11202,16572,9336,9002,16820,5801,32036,11929,10180,15205,8671,15876,20632,9773,14349,3333,18175,12502,14587,9894,11614,15423,13431,16495,24028,10261,18533,12053,10832,11438,9519,10761,10750,1940,4946,6415,14157,11126,11732,8884
"14776","Gpx2",6,3,2,1,2,1,0,23,3,3,2,4,0,1,0,1,1,2,0,3,0,0,6,2,0,5,0,5,1,0,4,5,1,7,0,0,4,1,0,0,1,1,2,0,2
"114585","D17H6S53E",651,509,684,444,435,417,552,555,335,754,483,726,453,395,453,396,581,709,408,497,237,670,495,470,330,474,830,472,500,511,589,739,553,505,372,551,646,495,75,290,542,641,323,516,261
"668661","2410002F23Rik",989,785,808,717,872,834,746,854,749,1653,792,987,778,827,700,564,975,1109,662,948,399,763,820,807,698,899,1150,770,905,890,1022,926,989,912,611,959,892,724,119,465,948,870,573,634,359
"14062","F2r",1779,1679,3011,1349,1261,1666,2603,1237,690,1758,1389,1579,1171,798,699,1113,1629,862,513,1009,847,1503,939,1421,460,1347,1867,1098,784,696,1845,1791,1121,1092,753,1429,1770,1057,238,357,1485,2518,776,976,281
"14065","F2rl3",44,36,31,32,23,39,13,34,24,63,55,20,29,21,15,21,52,27,33,43,32,28,36,32,22,57,39,33,30,29,34,32,32,39,9,51,49,24,5,37,44,17,16,26,9
"383348","Kctd16",3,2,11,2,4,15,5,3,4,12,0,24,8,6,8,21,4,3,2,10,4,19,5,4,0,15,11,14,14,10,15,59,2,7,6,9,0,5,0,3,12,89,13,11,8
